Дата,Количество статей
1999-08,17
1999-09,580
1999-10,726
1999-11,854
1999-12,906
2000-01,683
2000-02,1007
2000-03,1227
2000-04,1205
2000-05,1167
2000-06,1290
2000-07,1278
2000-08,1337
2000-09,1591
2000-10,1783
2000-11,1838
2000-12,1797
2001-01,1680
2001-02,1680
2001-03,1764
2001-04,1980
2001-05,1783
2001-06,1886
2001-07,1960
2001-08,2008
2001-09,1771
2001-10,1754
2001-11,1874
2001-12,1866
2002-01,1813
2002-02,1846
2002-03,385
2015-09,47
2015-10,198
2015-11,133
2015-12,204
2016-01,182
2016-02,229
2016-03,231
2016-04,261
2016-05,228
2016-06,180
2016-07,215
2016-08,241
2016-09,220
2016-10,237
2016-11,225
2016-12,224
2017-01,206
2017-02,229
2017-03,240
2017-04,236
2017-05,229
2017-06,221
2017-07,193
2017-08,215
2017-09,204
2017-10,212
2017-11,182
2017-12,182
2018-01,177
2018-02,164
2018-03,160
2018-04,205
2018-05,140
2018-06,178
2018-07,179
2018-08,167
2018-09,177
2018-10,175
2018-11,163
2018-12,161
2019-01,105
2019-02,112
2019-03,93
2019-04,111
2019-05,134
2019-06,145
2019-07,148
2019-08,87
